X,Y,OBJECTID,UNITID,SIGID,MAINSTREET,CROSSSTREET,OWNER2,ROUTE,MILEPOINT,DESCRIPTION,TIMES,OWNER,TYPE,INTID,ATMSID
1175252.0,225363.53125,892,MPW000738,SIG000738,DIXIE,VALLEY STATION,S, US-31W,8.63,DIXIE @ VALLEY STATION,24 HOURS,KYTC,1, 2309216126826,
1173699.375,222257.46875,893,MPW000538,SIG000538,DIXIE GARDEN,DIXIE,S, US-31W,7.98,DIXIE GARDEN @ DIXIE,24 HOURS,KYTC,1, 2310816111612,
1184821.875,250096.3125,894,MPW001727,SIG001727,GRASTON,ROCKFORD,S,KY-2051,0.65,GRASTON @ ROCKFORD,24 HOURS,KYTC,1, 2365526215560,
1230690.625,237613.328749999,895,MPW009056,SIG009056,MCCAWLEY,JEFFERSON,M,,,MCCAWLEY @ JEFFERSON,24 HOURS,METRO,1, 2422642808339,
1244567.19750001,274324.003749996,896,MPW017862,SIG017862,SHERBURN,BOWLING,M,,,SHERBURN @ BOWLING,24 HOURS,METRO,1,2943159508963,
1270058.7675,292261.888750002,897,MPW018008,SIG018008,CHAMBERLAIN,I 265 RAMP,M,,,CHAMBERLAIN @ I 265 RAMP,24 HOURS,METRO,1,  173810539996,
1234275.62625,258453.564999998,898,MPW017870,SIG017870,BARDSTOWN,PARIS,S,US-31E,11.174,BARDSTOWN @ PARIS,24 HOURS,KYTC,1,  376403844951,
1206618.16875,263378.807500005,899,MPW017867,SIG017867,EASTERN,3RD,S,US-60,3.5,EASTERN @ 3RD,24 HOURS,KYTC,1, 1427818356438,
1195884.75125,271949.125,900,MPW003303,SIG003303,CYPRESS,DUMESNIL,M,,,CYPRESS @ DUMESNIL,24 HOURS,METRO,1, 1506413741698,
1215837.75,271615.25,901,MPW006947,SIG006947,BARRET,KENTUCKY,M,,,BARRET @ KENTUCKY,24 HOURS,METRO,1, 1515203953531,
1199886.5,257216.828749999,902,MPW004161,SIG004161,BERRY,TAYLOR,S,US-60,1.473,BERRY @ TAYLOR,24 HOURS,KYTC,1, 1528805056392,
1215073.62625,277949.5,903,MPW006848,SIG006848,E MAIN ST,S JOHNSON ST,S,US 31W,16.739,E MAIN ST @ S JOHNSON ST,24 HOURS,KYTC,1, 1552033513352,
1214207.5,277049.3125,904,MPW006733,SIG006733,JEFFERSON,WENZEL,M,,,JEFFERSON @ WENZEL,24 HOURS,METRO,1, 1553333267101,
1206288.625,275344.875,905,MPW005558,SIG005558,BROADWAY,6TH,S,US 150,2.172,BROADWAY @ 6TH,24 HOURS,KYTC,1, 1555607026009,
1206767.625,275292.4375,906,MPW005640,SIG005640,BROADWAY,5TH,S,US 150,2.291,BROADWAY @ 5TH,24 HOURS,KYTC,1, 1555807022207,
1207722.5,275188.125,907,MPW005785,SIG005785,BROADWAY,3RD,S,US 150,2.474,BROADWAY @ 3RD,24 HOURS,KYTC,1, 1556107026438,
1215695.0,275160.75,908,MPW006927,SIG006927,BAXTER,PAYNE,S,US-31E,16.137,BAXTER @ PAYNE,24 HOURS,KYTC,1, 1556204174996,
1207881.0,276207.375,909,MPW005804,SIG005804,CHESTNUT,3RD,M,KY-1020,12.295,CHESTNUT @ 3RD,24 HOURS,METRO,1, 1558511146438,
1205985.125,276504.125,910,MPW005507,SIG005507,CHESTNUT,7TH,M,,,CHESTNUT @ 7TH,24 HOURS,METRO,1, 1561611145899,
1193640.5,257625.9375,911,MPW002928,SIG002928,DIXIE,NOBEL,S, US-31W,15.72,DIXIE @ NOBEL,24 HOURS,KYTC,1, 1579316123103,
1226071.0,278058.375,912,MPW008332,SIG008332,BAYLY,FRANKFORT,S,US-60,1.51,BAYLY @ FRANKFORT,24 HOURS,KYTC,1, 1593604232323,
1222479.25,273989.001249999,913,MPW007703,SIG007703,CHEROKEE,GRINSTEAD,S,US-60,7.753,CHEROKEE @ GRINSTEAD,24 HOURS,KYTC,1, 1601310992663,
1208767.625,268711.6875,914,MPW005910,SIG005910,FLOYD,MAGNOLIA,M,,,FLOYD @ MAGNOLIA,24 HOURS,METRO,1, 1615622544129,
1208573.375,267488.4375,915,MPW005878,SIG005878,FLOYD,HILL,M,,,FLOYD @ HILL,24 HOURS,METRO,1, 1618622542933,
1210490.75,272084.9375,916,MPW006172,SIG006172,JACKSON,KENTUCKY,S,KY-61,11.761,JACKSON @ KENTUCKY,24 HOURS,KYTC,1, 1634532923531,
1211648.25,271915.1875,917,MPW006354,SIG006354,CLAY,KENTUCKY,M,,,CLAY @ KENTUCKY,24 HOURS,METRO,1, 1635011673531,
1213050.375,277228.876249999,918,MPW006580,SIG006580,JEFFERSON,SHELBY,M,,,JEFFERSON @ SHELBY,24 HOURS,METRO,1, 1639433265937,
1212975.75,276739.75,919,MPW006571,SIG006571,LIBERTY,SHELBY,M,,,LIBERTY @ SHELBY,24 HOURS,METRO,1, 1640338445937,
1210467.99875,275811.1875,920,MPW006168,SIG006168,CHESTNUT,PRESTON,S,KY-61,12.546,CHESTNUT @ PRESTON,24 HOURS,KYTC,1, 1643611135143,
1210340.5,274900.125,921,MPW006146,SIG006146,BROADWAY,PRESTON,S,US 150,2.964,BROADWAY @ PRESTON,24 HOURS,KYTC,1, 1647507015143,
1212074.625,274706.9375,922,MPW006430,SIG006430,BROADWAY,CLAY,S,US 150,3.303,BROADWAY @ CLAY,24 HOURS,KYTC,1, 1647907011167,
1214247.25,274464.875,923,MPW006739,SIG006739,BARRET,BROADWAY,S,US 150,3.719,BARRET @ BROADWAY,24 HOURS,KYTC,1, 1648503950701,
1204976.875,273136.4375,924,MPW005291,SIG005291,8TH,KENTUCKY,M,,,8TH @ KENTUCKY,24 HOURS,METRO,1, 1665718853532,
1206949.875,277885.751249999,925,MPW005676,SIG005676,ARMORY,LIBERTY,M,,,ARMORY @ LIBERTY,24 HOURS,METRO,1, 1673001673845,
